Precinct Name,Voting District,Type,One Race,White,Black,Native American,Asian,Pacific Islander,Other,Two or more,Hispanic/Latino,18+,,,
Carroll Precinct 04-003,04-003,Adj,"5,998","5,635",206,13,118,4,22,283,183,"5,148",,,
Carroll Precinct 05-001,05-001,Unadj,"4,112","3,736",239,6,127,0,4,178,178,"3,458",,,
Carroll Precinct 05-002,05-002,Adj,"6,030","5,541",241,14,211,0,23,283,220,"4,933",,,
Carroll Precinct 05-003,05-003,Adj,"3,343","3,069",103,12,146,1,12,194,107,"2,779",,,
Carroll Precinct 05-004,05-004,Adj,"9,731","8,588",536,14,553,2,38,457,441,"8,230",,,
Carroll Precinct 05-005,05-005,Unadj,"3,581","3,148",159,1,256,0,17,176,170,"2,889",,,
Carroll Precinct 05-006,05-006,Unadj,618,597,13,0,7,0,1,28,24,601,,,
Carroll Precinct 06-001,06-001,Adj,"7,503","7,166",188,6,106,0,37,259,247,"6,212",,,
Carroll Precinct 06-002,06-002,Adj,"6,138","5,890",132,11,85,3,17,253,239,"5,200",,,
Carroll Precinct 07-001,07-001,Adj,"2,510","2,328",113,8,50,1,10,140,234,"2,373",,,
Carroll Precinct 07-002,07-002,Adj,"4,173","3,866",180,17,88,0,22,222,570,"3,928",,,
Carroll Precinct 07-003,07-003,Adj,"4,454","3,847",466,11,120,4,6,218,491,"4,090",,,
Carroll Precinct 07-004,07-004,Adj,"9,395","8,031",963,22,323,8,48,527,689,"8,458",,,
Carroll Precinct 07-005,07-005,Unadj,"1,003",967,23,4,8,0,1,28,20,919,,,
Carroll Precinct 07-006,07-006,Adj,"3,206","2,947",111,6,120,0,22,163,168,"2,784",,,
Carroll Precinct 07-007,07-007,Adj,"7,045","6,386",343,8,277,0,31,405,474,"5,928",,,
Carroll Precinct 07-008,07-008,Adj,"2,229","2,124",69,0,34,1,1,82,68,"1,896",,,
Carroll Precinct 08-001,08-001,Adj,"5,787","5,576",98,1,95,0,17,235,262,"4,948",,,
Carroll Precinct 08-002,08-002,Adj,"4,404","4,215",96,4,62,2,25,226,158,"3,645",,,
Carroll Precinct 08-003,08-003,Adj,"3,370","3,200",94,11,46,2,17,146,134,"2,804",,,
Carroll Precinct 09-001,09-001,Adj,"4,600","4,438",84,8,50,0,20,222,136,"3,979",,,
Carroll Precinct 09-002,09-002,Adj,"2,354","2,298",25,3,22,1,5,120,80,"2,072",,,
Carroll Precinct 10-001,10-001,Adj,"1,265","1,216",45,2,2,0,0,30,34,"1,052",,,
Carroll Precinct 11-001,11-001,Adj,"3,454","3,341",67,6,34,0,6,170,86,"2,961",,,
Carroll Precinct 12-001,12-001,Adj,"1,420","1,331",77,0,5,0,7,73,35,"1,197",,,
Carroll Precinct 13-001,13-001,Adj,"9,435","8,906",232,17,236,1,43,515,842,"8,093",,,
Carroll Precinct 14-001,14-001,Adj,"3,550","3,392",85,4,55,2,12,168,135,"2,954",,,
Carroll Precinct 14-002,14-002,Adj,"6,949","6,612",173,11,139,0,14,293,350,"6,012",,,
Carroll Precinct 14-003,14-003,Adj,"1,186","1,129",17,2,27,0,11,59,55,"1,019",,,
Cecil Precinct 01-001,01-001,Adj,"4,316","4,117",159,1,21,0,18,166,313,"3,831",,,
Cecil Precinct 02-001,02-001,Adj,"2,576","2,532",22,12,4,0,6,103,166,"2,303",,,
Cecil Precinct 02-002,02-002,Adj,"2,566","2,477",66,2,9,0,12,145,102,"2,218",,,
Cecil Precinct 03-001,03-001,Adj,"6,005","4,505","1,243",9,216,4,28,477,558,"5,374",,,
Cecil Precinct 03-002,03-002,Adj,"2,126","2,047",48,5,19,1,6,92,98,"1,830",,,
Cecil Precinct 03-003,03-003,Adj,"6,208","4,929","1,119",18,102,1,39,407,532,"5,438",,,
Cecil Precinct 03-004,03-004,Adj,844,781,47,2,5,0,9,75,65,748,,,
Cecil Precinct 03-005,03-005,Adj,"1,858","1,374",420,3,52,0,9,128,164,"1,731",,,
Cecil Precinct 03-006,03-006,Adj,"2,797","2,688",86,6,10,0,7,171,147,"2,414",,,
Cecil Precinct 03-007,03-007,Adj,"3,621","2,653",836,19,87,0,26,297,486,"3,263",,,
Cecil Precinct 04-001,04-001,Adj,"4,817","4,693",67,2,36,0,19,226,249,"4,248",,,
Cecil Precinct 04-002,04-002,Adj,"3,275","2,245",881,9,119,1,20,238,326,"2,939",,,
Cecil Precinct 05-001,05-001,Adj,"3,398","3,149",184,6,32,5,22,235,183,"2,958",,,
Cecil Precinct 05-002,05-002,Adj,"3,929","3,470",361,5,74,0,19,265,205,"3,480",,,
Cecil Precinct 05-003,05-003,Adj,"5,606","5,346",159,7,56,0,38,275,175,"4,780",,,
Cecil Precinct 05-004,05-004,Adj,"3,229","2,738",409,4,57,1,20,317,291,"2,781",,,
Cecil Precinct 05-005,05-005,Adj,"6,001","5,575",322,16,69,2,17,317,305,"4,977",,,
Cecil Precinct 05-006,05-006,Adj,880,802,41,3,27,1,6,46,58,769,,,
Cecil Precinct 06-001,06-001,Adj,"4,954","4,855",45,8,40,0,6,240,245,"4,122",,,
Cecil Precinct 06-002,06-002,Adj,"3,746","3,675",26,11,22,3,9,135,123,"3,142",,,
Cecil Precinct 06-003,06-003,Unadj,"1,134","1,111",8,0,10,1,4,56,13,923,,,
Cecil Precinct 07-001,07-001,Adj,"3,838","3,658",124,14,36,0,6,196,101,"3,218",,,
Cecil Precinct 07-002,07-002,Adj,"5,065","4,278",679,24,58,2,24,324,217,"4,458",,,
Cecil Precinct 07-003,07-003,Adj,"1,319","1,188",113,12,4,0,2,90,63,"1,188",,,
Cecil Precinct 07-004,07-004,Adj,494,475,2,1,10,0,6,39,29,450,,,
Cecil Precinct 08-001,08-001,Adj,"3,683","3,605",36,11,20,0,11,187,111,"3,173",,,
Cecil Precinct 09-001,09-001,Adj,"2,605","2,537",23,18,14,1,12,93,71,"2,140",,,
Cecil Precinct 09-002,09-002,Adj,"2,223","2,150",38,4,23,0,8,56,58,"1,807",,,
Charles Precinct 01-001,01-001,Adj,"4,264","2,243","1,783",19,206,5,8,292,256,"3,630",,,
Charles Precinct 01-002,01-002,Adj,"3,012","2,277",628,24,67,2,14,168,177,"2,660",,,
Charles Precinct 01-003,01-003,Adj,"4,174","2,729","1,252",15,156,8,14,317,273,"3,655",,,
Charles Precinct 01-004,01-004,Adj,"2,998","2,419",465,25,71,2,16,196,191,"2,656",,,
Charles Precinct 02-001,02-001,Adj,"1,766","1,359",363,17,13,3,11,124,86,"1,609",,,
Charles Precinct 03-001,03-001,Adj,"2,859","1,901",881,34,25,0,18,174,96,"2,482",,,
Charles Precinct 04-001,04-001,Adj,"3,343","2,938",329,30,28,2,16,197,135,"2,731",,,
Charles Precinct 04-002,04-002,Adj,"2,279","1,968",240,25,38,1,7,159,122,"1,972",,,
Charles Precinct 05-001,05-001,Adj,"3,936","3,239",583,27,58,7,22,208,139,"3,351",,,
Charles Precinct 06-001,06-001,Adj,"2,627","1,856",633,30,83,1,24,197,181,"2,403",,,
Charles Precinct 06-002,06-002,Adj,"6,472","2,348","3,830",33,196,4,61,462,447,"5,866",,,
Charles Precinct 06-003,06-003,Adj,"3,388",516,"2,566",11,274,4,17,253,273,"2,730",,,
Charles Precinct 06-004,06-004,Adj,"3,943",741,"2,985",15,172,3,27,206,308,"3,230",,,
Charles Precinct 06-005,06-005,Adj,"4,961",480,"4,208",13,224,0,36,245,481,"4,126",,,
Charles Precinct 06-006,06-006,Adj,"3,891","1,415","2,287",20,128,13,28,301,612,"3,697",,,
Charles Precinct 06-007,06-007,Adj,"4,783","1,030","3,539",37,135,3,39,310,490,"3,995",,,
Charles Precinct 06-008,06-008,Adj,"2,430",530,"1,831",10,45,2,12,166,300,"2,147",,,
Charles Precinct 06-009,06-009,Adj,"3,316",652,"2,510",47,84,2,21,214,347,"2,928",,,
Charles Precinct 06-010,06-010,Adj,"3,115",470,"2,365",12,229,4,35,220,245,"2,618",,,
Charles Precinct 06-011,06-011,Adj,"2,438",493,"1,675",13,227,4,26,139,204,"2,076",,,
Charles Precinct 06-012,06-012,Adj,"1,716",521,"1,116",18,54,0,7,117,388,"1,646",,,
Charles Precinct 06-013,06-013,Adj,"5,134","1,111","3,505",34,448,5,31,360,431,"4,456",,,
Charles Precinct 06-014,06-014,Unadj,"5,585","1,409","3,906",21,223,2,24,423,370,"4,783",,,
Charles Precinct 06-015,06-015,Adj,"4,923",725,"3,844",29,282,5,38,274,529,"4,289",,,
Charles Precinct 06-016,06-016,Adj,"3,603",790,"2,546",27,193,1,46,257,318,"3,247",,,
Charles Precinct 06-017,06-017,Adj,"2,081",560,"1,413",14,64,5,25,81,156,"1,781",,,
Charles Precinct 06-018,06-018,Adj,"3,543",283,"2,982",18,250,0,10,158,199,"2,871",,,
Charles Precinct 06-019,06-019,Adj,"2,919",927,"1,765",8,188,1,30,195,220,"2,565",,,
Charles Precinct 06-020,06-020,Adj,"1,741",557,"1,076",14,86,4,4,144,174,"1,540",,,
Charles Precinct 06-021,06-021,Adj,"1,912",412,"1,309",3,174,0,14,75,145,"1,666",,,
Charles Precinct 06-022,06-022,Adj,"3,570",509,"2,891",19,109,4,38,240,532,"3,196",,,
Charles Precinct 07-001,07-001,Adj,"1,786","1,329",371,14,64,0,8,120,243,"1,707",,,
Charles Precinct 07-002,07-002,Adj,"3,454",959,"2,347",40,98,0,10,235,207,"2,870",,,
Charles Precinct 07-003,07-003,Adj,"3,707","1,263","2,200",76,144,3,21,273,432,"3,436",,,
Charles Precinct 07-004,07-004,Adj,"4,414",883,"3,321",17,148,17,28,249,344,"3,667",,,
Charles Precinct 08-001,08-001,Adj,"4,171","2,984","1,044",16,88,5,34,279,216,"3,645",,,
Charles Precinct 08-002,08-002,Adj,"2,244","1,152",992,32,56,6,6,193,228,"2,125",,,
Charles Precinct 08-003,08-003,Adj,"2,386",983,"1,293",8,66,4,32,143,219,"2,199",,,
Charles Precinct 08-004,08-004,Adj,"6,893","2,019","4,520",38,258,8,50,496,489,"5,840",,,
Charles Precinct 08-005,08-005,Adj,565,441,104,1,19,0,0,60,36,540,,,
Charles Precinct 09-001,09-001,Adj,"2,888","1,552","1,233",42,38,6,17,187,145,"2,572",,,
Charles Precinct 09-002,09-002,Adj,"3,057","2,245",715,18,53,0,26,217,124,"2,709",,,
Charles Precinct 10-001,10-001,Adj,"3,336","1,686","1,547",34,61,1,7,211,170,"2,974",,,
Dorchester Precinct 01-001,01-001,Adj,"1,702","1,521",151,3,22,2,3,66,61,"1,471",,,
Dorchester Precinct 01-002,01-002,Unadj,12,7,5,0,0,0,0,0,1,5,,,
Dorchester Precinct 02-001,02-001,Adj,"1,568","1,466",87,3,5,0,7,54,60,"1,338",,,
Dorchester Precinct 02-002,02-002,Adj,284,153,130,0,0,0,1,24,26,248,,,
Dorchester Precinct 02-003,02-003,Unadj,137,128,9,0,0,0,0,4,7,126,,,
Dorchester Precinct 02-004,02-004,Adj,278,213,60,3,0,0,2,13,11,258,,,
Dorchester Precinct 03-001,03-001,Unadj,336,293,41,0,0,0,2,19,8,282,,,
Dorchester Precinct 03-002,03-002,Adj,424,221,199,0,3,1,0,18,13,371,,,
Dorchester Precinct 04-001,04-001,Unadj,200,192,5,0,3,0,0,7,1,184,,,
Dorchester Precinct 05-001,05-001,Unadj,251,233,11,2,5,0,0,12,0,217,,,
Dorchester Precinct 06-001,06-001,Adj,398,387,2,7,1,0,1,2,24,362,,,
Dorchester Precinct 07-001,07-001,Adj,"1,140",877,229,4,18,0,12,59,147,"1,129",,,
Dorchester Precinct 07-002,07-002,Adj,"4,983",950,"3,976",8,25,2,22,255,466,"4,042",,,
Dorchester Precinct 07-003,07-003,Adj,634,596,22,4,11,0,1,33,31,624,,,
Dorchester Precinct 07-004,07-004,Adj,887,426,442,1,13,0,5,15,38,761,,,
Dorchester Precinct 07-005,07-005,Adj,291,105,186,0,0,0,0,10,8,253,,,
Dorchester Precinct 07-006,07-006,Adj,"2,774","2,472",235,15,36,0,16,111,173,"2,594",,,
Dorchester Precinct 07-007,07-007,Adj,687,263,412,0,10,0,2,27,45,570,,,
Dorchester Precinct 07-008,07-008,Adj,72,65,3,1,2,0,1,7,3,58,,,
Dorchester Precinct 07-009,07-009,Adj,"1,618",872,649,6,78,0,13,87,185,"1,480",,,
Dorchester Precinct 07-010,07-010,Adj,350,126,210,0,13,0,1,11,4,262,,,
Dorchester Precinct 07-011,07-011,Unadj,48,39,9,0,0,0,0,5,4,48,,,
Dorchester Precinct 08-001,08-001,Adj,788,776,11,0,1,0,0,10,11,724,,,
Dorchester Precinct 09-001,09-001,Adj,597,557,30,3,6,0,1,19,22,539,,,
Dorchester Precinct 10-001,10-001,Adj,265,255,4,3,1,0,2,3,7,246,,,
Dorchester Precinct 11-001,11-001,Unadj,88,78,8,0,2,0,0,2,2,76,,,
Dorchester Precinct 12-001,12-001,Adj,481,379,85,3,13,0,1,29,11,423,,,
Dorchester Precinct 12-002,12-002,Adj,478,213,251,3,10,0,1,13,12,419,,,
Dorchester Precinct 13-001,13-001,Unadj,228,221,6,0,1,0,0,7,7,193,,,
Dorchester Precinct 13-002,13-002,Unadj,155,76,78,0,1,0,0,1,2,139,,,
Dorchester Precinct 14-001,14-001,Adj,"1,488","1,368",96,4,14,0,6,48,52,"1,273",,,
Dorchester Precinct 14-002,14-002,Unadj,84,59,23,0,1,0,1,14,1,70,,,
Dorchester Precinct 14-003,14-003,Adj,945,869,62,0,14,0,0,31,107,906,,,
Dorchester Precinct 14-004,14-004,Unadj,0,0,0,0,0,0,0,0,0,0,,,
Dorchester Precinct 15-001,15-001,Adj,"2,284","1,940",312,4,16,0,12,107,102,"1,909",,,
Dorchester Precinct 15-002,15-002,Unadj,147,124,20,1,0,0,2,10,2,131,,,
Dorchester Precinct 15-003,15-003,Adj,"1,806",742,"1,025",7,14,0,18,114,89,"1,536",,,
Dorchester Precinct 16-001,16-001,Unadj,493,457,21,3,12,0,0,4,19,402,,,
Dorchester Precinct 17-001,17-001,Unadj,178,131,41,2,4,0,0,9,19,166,,,
Dorchester Precinct 17-002,17-002,Unadj,45,43,2,0,0,0,0,0,0,35,,,
Dorchester Precinct 18-001,18-001,Unadj,50,46,1,2,0,1,0,4,1,52,,,
Frederick Precinct 01-001,01-001,Adj,"3,493","3,110",224,11,121,0,27,220,239,"3,074",,,
Frederick Precinct 01-002,01-002,Adj,"5,644","3,529","1,479",7,567,5,57,439,"1,261","5,287",,,
Frederick Precinct 01-003,01-003,Adj,"2,282","2,079",134,4,47,0,18,149,275,"2,007",,,
Frederick Precinct 02-001,02-001,Adj,"3,916","2,443","1,104",11,315,1,42,263,"1,046","4,163",,,
Frederick Precinct 02-002,02-002,Adj,"1,682","1,315",311,3,42,0,11,103,199,"1,700",,,
Frederick Precinct 02-003,02-003,Adj,"3,596","3,079",426,13,53,1,24,244,393,"3,669",,,
Frederick Precinct 02-004,02-004,Adj,"5,458","2,762","1,774",13,837,5,67,441,"4,227","7,297",,,
Frederick Precinct 02-005,02-005,Adj,"5,177","4,380",547,11,162,19,58,258,543,"4,947",,,
Frederick Precinct 02-006,02-006,Adj,"3,103","2,286",506,7,276,1,27,190,612,"3,058",,,
Frederick Precinct 02-007,02-007,Adj,"4,404","3,461",737,0,179,3,24,266,707,"4,450",,,
Frederick Precinct 02-008,02-008,Adj,"5,636","3,242","1,642",22,670,1,59,411,"2,697","6,581",,,
Frederick Precinct 02-010,02-010,Adj,"4,929","3,433","1,151",10,286,11,38,346,"1,127","4,960",,,
Frederick Precinct 02-011,02-011,Adj,"3,746","2,556",967,13,184,7,19,240,723,"3,796",,,
Frederick Precinct 02-013,02-013,Adj,"4,387","2,362","1,560",11,407,5,42,282,"1,354","4,620",,,
Frederick Precinct 02-014,02-014,Unadj,"2,742","1,705",650,10,338,4,35,236,494,"2,568",,,
Frederick Precinct 02-015,02-015,Adj,"5,254","4,103",867,2,268,0,14,305,523,"5,038",,,
Frederick Precinct 02-016,02-016,Adj,"3,113","1,703","1,062",21,293,5,29,213,818,"3,161",,,
Frederick Precinct 02-017,02-017,Adj,"2,973","1,180","1,482",14,242,3,52,241,"1,851","3,612",,,
Frederick Precinct 02-018,02-018,Adj,"2,294","1,581",527,4,162,1,19,188,265,"1,953",,,
Frederick Precinct 03-001,03-001,Unadj,"2,577","2,509",33,1,31,0,3,109,125,"2,171",,,
Frederick Precinct 03-002,03-002,Adj,"4,136","3,921",80,6,107,2,20,233,204,"3,528",,,
Frederick Precinct 03-003,03-003,Unadj,"2,879","2,612",130,4,117,0,16,126,206,"2,300",,,
Frederick Precinct 04-001,04-001,Adj,"1,161","1,140",1,4,12,0,4,31,53,"1,022",,,
Frederick Precinct 05-001,05-001,Adj,"6,773","6,058",548,10,118,23,16,288,356,"6,089",,,
Frederick Precinct 06-001,06-001,Adj,"1,951","1,917",23,3,8,0,0,71,43,"1,689",,,
Frederick Precinct 07-001,07-001,Adj,"2,723","2,280",183,3,238,1,18,131,247,"2,427",,,
Frederick Precinct 07-002,07-002,Adj,"6,307","3,553",881,5,"1,805",5,58,463,988,"5,087",,,
Frederick Precinct 07-003,07-003,Adj,"3,045","2,699",122,7,189,0,28,172,273,"2,657",,,
Frederick Precinct 07-004,07-004,Unadj,"3,606","2,518",319,8,735,0,26,218,401,"2,894",,,
Frederick Precinct 07-005,07-005,Unadj,136,120,0,0,15,0,1,9,9,126,,,
Frederick Precinct 07-006,07-006,Unadj,6,4,1,0,1,0,0,0,2,3,,,
Frederick Precinct 07-007,07-007,Unadj,"1,002",705,102,2,187,0,6,78,133,823,,,
Frederick Precinct 08-001,08-001,Adj,"2,364","2,265",55,3,34,0,7,143,93,"2,062",,,
Frederick Precinct 09-001,09-001,Adj,"3,969","3,653",118,5,178,2,13,180,222,"3,116",,,
Frederick Precinct 09-002,09-002,Adj,"5,542","4,580",437,4,487,0,34,285,619,"4,826",,,
Frederick Precinct 09-003,09-003,Unadj,649,547,38,4,54,0,6,54,83,593,,,
Frederick Precinct 09-004,09-004,Adj,"4,162","3,954",69,7,115,1,16,225,261,"3,592",,,
Frederick Precinct 09-005,09-005,Adj,"1,736","1,674",29,6,21,1,5,79,99,"1,484",,,
Frederick Precinct 09-006,09-006,Adj,"4,436","3,655",363,4,384,1,29,297,382,"3,636",,,
Frederick Precinct 09-007,09-007,Unadj,"6,047","5,378",275,2,352,2,38,432,478,"5,002",,,
Frederick Precinct 09-008,09-008,Unadj,"1,427","1,268",100,0,53,0,6,78,172,"1,305",,,
Frederick Precinct 09-009,09-009,Adj,"2,249","1,643",361,4,224,0,17,130,283,"1,925",,,
Frederick Precinct 10-001,10-001,Adj,"2,234","2,171",47,1,10,3,2,93,82,"1,909",,,
Frederick Precinct 11-001,11-001,Adj,"3,073","2,943",76,8,26,2,18,146,157,"2,616",,,
Frederick Precinct 12-001,12-001,Adj,"3,995","3,450",426,6,99,0,14,248,389,"3,358",,,
Frederick Precinct 12-002,12-002,Unadj,3,3,0,0,0,0,0,0,3,6,,,
Frederick Precinct 13-001,13-001,Adj,"5,470","5,139",144,10,144,0,33,409,410,"4,516",,,
Frederick Precinct 13-002,13-002,Unadj,136,132,0,1,3,0,0,9,25,144,,,
Frederick Precinct 13-003,13-003,Unadj,875,762,74,1,34,0,4,70,72,724,,,
Frederick Precinct 14-001,14-001,Adj,"3,965","3,730",136,11,75,1,12,183,213,"3,538",,,
Frederick Precinct 14-002,14-002,Unadj,583,566,10,0,4,1,2,29,12,500,,,
Frederick Precinct 15-001,15-001,Adj,"3,680","3,590",26,8,48,0,8,141,151,"3,222",,,
Frederick Precinct 15-002,15-002,Adj,"4,550","4,415",52,8,51,0,24,176,179,"3,944",,,
Frederick Precinct 16-001,16-001,Adj,"3,992","3,802",95,5,70,4,16,199,186,"3,376",,,
Frederick Precinct 17-001,17-001,Adj,"1,999","1,950",19,3,23,0,4,84,53,"1,704",,,
Frederick Precinct 18-001,18-001,Adj,"3,738","3,504",157,5,62,3,7,223,299,"3,317",,,
Frederick Precinct 18-002,18-002,Adj,"3,130","3,063",34,2,22,2,7,131,104,"2,611",,,
Frederick Precinct 18-003,18-003,Adj,"1,758","1,615",79,4,54,0,6,114,101,"1,522",,,
Frederick Precinct 19-001,19-001,Adj,"1,667","1,640",15,2,8,1,1,74,89,"1,473",,,
Frederick Precinct 20-001,20-001,Adj,"2,846","2,767",38,6,24,5,6,134,199,"2,584",,,
Frederick Precinct 20-002,20-002,Unadj,0,0,0,0,0,0,0,0,0,0,,,
Frederick Precinct 21-001,21-001,Adj,"1,954","1,839",41,0,63,1,10,101,167,"1,817",,,
Frederick Precinct 21-002,21-002,Adj,"2,243","1,741",342,6,143,0,11,166,224,"2,023",,,
Frederick Precinct 21-003,21-003,Unadj,"1,489","1,272",107,0,94,0,16,62,113,"1,338",,,
Frederick Precinct 21-004,21-004,Adj,"3,971","2,556","1,004",3,370,10,28,224,603,"3,421",,,
Frederick Precinct 21-005,21-005,Unadj,0,0,0,0,0,0,0,0,0,0,,,
Frederick Precinct 21-006,21-006,Unadj,0,0,0,0,0,0,0,0,0,0,,,
Frederick Precinct 21-007,21-007,Unadj,813,763,19,0,28,0,3,28,48,730,,,
Frederick Precinct 21-008,21-008,Unadj,24,20,3,1,0,0,0,4,5,23,,,
Frederick Precinct 22-001,22-001,Adj,"1,276","1,238",14,1,18,0,5,77,37,"1,154",,,
Frederick Precinct 22-002,22-002,Unadj,0,0,0,0,0,0,0,1,1,0,,,
Frederick Precinct 23-001,23-001,Adj,"6,120","4,397","1,180",8,485,6,44,437,"1,151","5,926",,,
Frederick Precinct 23-002,23-002,Unadj,101,93,4,0,3,0,1,14,18,117,,,
Frederick Precinct 23-003,23-003,Unadj,19,7,5,0,7,0,0,5,9,17,,,
Frederick Precinct 23-004,23-004,Unadj,0,0,0,0,0,0,0,0,0,0,,,
Frederick Precinct 24-001,24-001,Unadj,"2,039","1,906",59,2,54,0,18,89,218,"1,867",,,
Frederick Precinct 24-002,24-002,Unadj,"1,034",956,40,0,32,0,6,64,107,982,,,
Frederick Precinct 24-003,24-003,Unadj,810,786,7,0,11,0,6,19,26,708,,,
Frederick Precinct 24-004,24-004,Unadj,6,4,1,0,0,0,1,7,14,18,,,
Frederick Precinct 24-005,24-005,Adj,"1,199",701,362,0,132,0,4,88,220,"1,135",,,
Frederick Precinct 24-006,24-006,Unadj,30,30,0,0,0,0,0,2,6,34,,,
Frederick Precinct 25-001,25-001,Adj,"4,601","4,121",351,3,86,0,40,291,374,"4,031",,,
Frederick Precinct 26-001,26-001,Adj,"4,465","3,986",305,8,128,1,37,245,405,"3,815",,,
Frederick Precinct 26-002,26-002,Adj,"3,718","3,147",431,9,103,4,24,274,583,"3,409",,,
Garrett Precinct 01-001,01-001,Adj,"1,805","1,788",3,4,8,0,2,30,12,"1,490",,,
Garrett Precinct 02-001,02-001,Adj,"1,783","1,759",11,1,6,0,6,63,38,"1,521",,,
Garrett Precinct 03-001,03-001,Adj,"2,631","2,609",11,0,3,0,8,46,16,"2,172",,,
Garrett Precinct 03-002,03-002,Adj,730,723,2,0,3,0,2,17,10,618,,,
Garrett Precinct 04-001,04-001,Unadj,707,685,15,5,1,0,1,11,7,587,,,
Garrett Precinct 05-001,05-001,Adj,"1,857","1,833",12,2,3,0,7,55,24,"1,526",,,
Garrett Precinct 06-001,06-001,Adj,"2,168","2,036",99,6,21,0,6,71,62,"1,926",,,
Garrett Precinct 07-001,07-001,Adj,"2,322","2,298",9,5,7,0,3,61,26,"1,952",,,
Garrett Precinct 08-001,08-001,Adj,694,689,5,0,0,0,0,11,6,570,,,
Garrett Precinct 08-002,08-002,Adj,867,857,1,5,2,0,2,13,4,695,,,
Garrett Precinct 09-001,09-001,Adj,"1,124","1,120",0,0,4,0,0,34,4,948,,,
Garrett Precinct 10-001,10-001,Adj,"1,800","1,782",8,3,5,1,1,35,16,"1,549",,,
Garrett Precinct 11-001,11-001,Unadj,124,114,10,0,0,0,0,0,1,108,,,
Garrett Precinct 12-001,12-001,Unadj,862,839,13,0,0,0,10,10,8,701,,,
Garrett Precinct 13-001,13-001,Adj,600,598,2,0,0,0,0,18,6,497,,,
Garrett Precinct 14-001,14-001,Adj,"2,748","2,720",20,0,7,0,1,65,29,"2,389",,,
Garrett Precinct 14-002,14-002,Adj,"1,226","1,220",5,1,0,0,0,43,11,"1,034",,,
Garrett Precinct 15-001,15-001,Unadj,534,532,0,0,2,0,0,7,0,434,,,
Garrett Precinct 16-001,16-001,Adj,"3,270","3,239",14,1,10,1,5,83,41,"2,658",,,
Harford Precinct 01-001,01-001,Adj,"4,797","1,616","3,029",8,90,12,42,410,534,"3,904",,,
Harford Precinct 01-002,01-002,Adj,"2,559","1,952",471,2,122,1,11,129,117,"2,261",,,
Harford Precinct 01-003,01-003,Adj,"2,480","1,294","1,124",7,39,1,15,190,476,"2,249",,,
Harford Precinct 01-004,01-004,Adj,"3,846","2,462","1,220",5,123,3,33,233,242,"3,275",,,
Harford Precinct 01-005,01-005,Adj,"3,036","1,679","1,236",8,80,3,30,264,361,"2,801",,,
Harford Precinct 01-006,01-006,Adj,"4,896","1,426","3,318",15,70,3,64,351,558,"4,030",,,
Harford Precinct 01-007,01-007,Adj,"2,340","2,174",117,12,29,1,7,146,290,"2,262",,,
Harford Precinct 01-008,01-008,Adj,"5,207","4,019",552,6,621,0,9,287,382,"4,311",,,
Harford Precinct 01-009,01-009,Adj,"3,266","2,621",464,3,162,3,13,156,210,"2,726",,,
Harford Precinct 01-010,01-010,Adj,"4,874","2,881","1,787",17,139,5,45,299,431,"4,375",,,
Harford Precinct 01-011,01-011,Adj,"3,628","3,187",267,2,152,0,20,190,177,"2,985",,,
Harford Precinct 01-012,01-012,Adj,"3,562","2,938",378,7,213,0,26,188,179,"3,083",,,
Harford Precinct 01-013,01-013,Adj,"2,368","1,707",507,3,139,3,9,115,225,"2,251",,,
Harford Precinct 01-014,01-014,Adj,"4,834","4,309",256,7,227,6,29,220,254,"4,134",,,
Harford Precinct 01-015,01-015,Adj,"3,923","2,938",779,5,172,0,29,280,278,"3,371",,,
Harford Precinct 01-016,01-016,Adj,"3,853","2,688",991,8,124,5,37,299,273,"3,451",,,
Harford Precinct 01-017,01-017,Unadj,674,624,17,2,26,1,4,29,28,568,,,
Harford Precinct 01-018,01-018,Adj,"2,586","1,744",734,6,86,3,13,113,162,"2,277",,,
Harford Precinct 01-019,01-019,Adj,"3,609","1,583","1,904",7,97,1,17,274,243,"3,153",,,
Harford Precinct 01-020,01-020,Adj,"4,988","2,408","2,229",17,271,7,56,345,378,"4,319",,,
Harford Precinct 01-021,01-021,Adj,"1,170","1,006",123,0,40,0,1,93,70,"1,004",,,
Harford Precinct 01-022,01-022,Unadj,291,209,55,2,23,0,2,23,24,245,,,
Harford Precinct 01-023,01-023,Unadj,388,291,89,0,6,0,2,10,12,339,,,
Harford Precinct 01-024,01-024,Adj,669,535,113,1,12,1,7,44,34,581,,,
Harford Precinct 01-025,01-025,Unadj,27,26,1,0,0,0,0,7,9,37,,,
Harford Precinct 01-026,01-026,Adj,"1,942","1,519",329,2,65,2,25,122,112,"1,776",,,
Harford Precinct 01-027,01-027,Adj,"1,903","1,379",246,6,264,1,7,90,93,"1,541",,,
Harford Precinct 01-041,01-041,Adj,"2,309","1,439",766,7,89,2,6,181,147,"2,038",,,
Harford Precinct 01-045,01-045,Adj,"3,038","2,632",348,6,39,3,10,182,153,"2,857",,,
Harford Precinct 02-001,02-001,Adj,"1,330",568,649,2,101,9,1,88,116,"1,137",,,
Harford Precinct 02-002,02-002,Adj,"4,005","3,759",184,6,52,0,4,209,121,"3,632",,,
Harford Precinct 02-003,02-003,Adj,"2,323","1,648",629,11,32,1,2,165,168,"2,101",,,
